age,muscle_mass,body_fat,percentage,height,weight,
17,22.1,18.5,31.2,162.1,59.2,
17,24.1,15.4,25.8,168.7,59.6,
16,20.7,22.6,37,160.7,61.2,
17,15.6,11.3,27.3,156.9,41.4,
16,19.9,12.9,25.7,156,50.1,
17,16.7,17.5,35.4,158.4,49.5,
17,19.2,13.9,28,158,49.6,
17,17.9,15.3,31.2,152.7,49.2,
17,28,11.3,18.4,165.1,61.8,
17,20,11.6,23.6,160.5,49.2,
17,22.7,21.3,33.5,166.5,63.5,
17,19.7,13.1,26.3,155.8,49.7,
16,18.8,22.7,39.2,156.1,57.9,
16,21.3,17.1,30.2,158.3,56.6,
16,19.5,16,30.5,156.1,52.5,
16,23.7,18,29.4,160,61.4,
17,32.9,17.6,23.1,178.3,76.3,
17,36,17,21.1,180.1,80.4,
17,37.4,3.2,4.6,183,68.4,
17,29.1,9.2,15,174.5,61.4,
17,32.2,15.5,21.4,171.7,72.3,
17,31,7.5,11.9,176,62.6,
17,32.4,15,20.8,172.5,72.1,
17,29.2,8,13.4,170.2,59.8,
16,31.7,8.7,13.4,175,64.8,
17,30.1,12.7,19.2,167.8,66,
17,28.7,10.3,16.9,169.6,61.3,
17,30,6.7,11.1,178.8,60.2,
17,27.2,4.6,8.6,170.5,53.2,
17,28.8,7.8,13.2,174.4,59.3,
17,31.5,10.9,16.3,173.9,67,
17,22.4,5.9,12.7,161,46.8,
17,43.5,25.4,25,185.1,101.7,
17,25.4,6.4,12.2,169,52.1,
17,34.3,6.9,10.2,180.5,67.8,
17,35.7,3.1,4.7,172.5,65.3,
16,32.2,12.5,17.9,176.7,70.1,
17,26.5,5.5,10.5,168.5,53,
17,28.6,6.6,11.4,173.5,57.7,
17,25.2,4.8,9.5,174.5,50.7,
17,31.5,7.2,11.3,171.5,63.4,
17,26.9,11.7,19.5,169.4,59.9,
18,28.2,5.9,10.5,173,56.2,
16,37.7,2,3,186.5,67.3,
17,27.3,1.9,3.7,174.4,50.8,
17,31.2,13,18.9,174.4,68.8,
17,34.3,5.2,8,184.6,65.5,
16,20.9,4.1,9.7,160.7,42.6,
17,32.1,3.1,5.2,179.5,59.6,
17,31.3,5.6,9.1,173.5,61.2,
